id,age,sex,job_id,marital,education_id,default,housing,loan,city
104,52,female,3,divorced,7,no,no,no,New York
105,52,male,3,divorced,7,no,no,no,Houston
106,43,female,2,single,2,unknown,no,no,Chicago
107,34,male,1,married,3,no,yes,no,Chicago
108,35,male,3,married,2,no,yes,no,Chicago
109,42,male,11,married,6,unknown,yes,no,Chicago
110,43,female,5,married,6,unknown,yes,yes,Chicago
111,60,female,6,divorced,7,unknown,no,no,Phoenix
112,58,female,8,married,1,unknown,no,no,Los Angeles
113,35,female,2,divorced,2,no,yes,no,Los Angeles
114,55,female,4,married,4,unknown,yes,no,Phoenix
115,37,female,7,married,7,no,no,no,New York
116,36,female,4,married,2,no,no,no,New York
117,52,female,3,divorced,7,no,no,no,Chicago
118,57,female,4,divorced,6,unknown,yes,no,Houston
119,56,male,3,married,6,no,yes,no,New York
120,48,female,4,divorced,1,unknown,yes,no,Phoenix
121,40,female,4,married,2,unknown,yes,no,Chicago
122,49,male,4,divorced,2,no,no,no,Chicago
123,41,female,2,married,2,no,no,no,Houston
124,45,male,5,married,2,no,yes,no,Los Angeles
125,32,male,3,married,7,no,yes,yes,New York
126,42,female,3,married,7,no,no,yes,New York
127,50,male,3,married,3,no,no,no,Houston
128,31,female,5,divorced,5,no,yes,yes,New York
129,56,male,6,married,1,no,yes,no,New York
130,41,male,5,married,5,unknown,yes,no,Chicago
131,37,female,4,married,3,no,yes,yes,Phoenix
132,41,male,5,married,5,unknown,no,no,Los Angeles
133,35,female,4,married,6,no,yes,no,New York
134,37,female,4,married,3,no,yes,no,Houston
135,52,female,7,married,7,no,no,no,Los Angeles
136,39,male,7,divorced,7,no,no,no,Chicago
137,39,male,1,married,1,unknown,no,no,Los Angeles
138,56,female,4,married,1,unknown,no,no,Los Angeles
139,34,male,2,married,2,no,yes,no,Chicago
140,45,male,4,married,4,unknown,yes,no,New York
141,43,female,8,single,7,no,yes,no,New York
142,56,female,7,married,6,no,yes,no,Phoenix
143,39,female,7,married,7,no,yes,no,Los Angeles
144,53,female,4,married,1,no,yes,no,Houston
145,38,female,10,divorced,2,unknown,yes,no,Chicago
146,42,female,4,married,1,unknown,yes,no,Houston
147,42,male,4,married,1,unknown,no,no,Houston
148,35,male,3,single,2,no,yes,no,New York
149,40,male,3,married,7,unknown,yes,no,Phoenix
150,51,female,4,married,1,no,yes,no,New York
151,60,female,4,married,4,unknown,no,no,Los Angeles
152,56,male,11,married,6,unknown,yes,no,Chicago
153,39,male,2,divorced,2,unknown,yes,no,Phoenix
154,56,female,11,married,6,unknown,no,no,Houston
155,40,male,4,married,6,no,yes,yes,New York
156,36,male,4,married,4,no,yes,yes,New York
157,51,male,4,married,6,unknown,yes,no,Chicago
158,51,male,4,married,6,unknown,no,no,Houston
159,43,male,5,single,5,no,yes,no,Phoenix
160,59,male,2,married,2,no,no,no,Phoenix
161,24,female,7,single,7,no,yes,no,Houston
162,37,female,4,single,4,unknown,yes,yes,New York
163,40,male,4,married,4,unknown,no,no,Chicago
164,42,female,4,married,4,unknown,no,no,Phoenix
165,39,male,2,divorced,2,unknown,no,no,Chicago
166,37,female,11,married,3,no,no,no,Chicago
167,38,male,2,married,2,no,yes,yes,Houston
168,56,female,3,divorced,6,unknown,no,no,Chicago
169,40,male,4,married,6,no,no,no,New York
170,54,female,7,divorced,7,no,yes,no,Phoenix
171,43,male,4,married,2,unknown,no,yes,Phoenix
172,36,female,2,married,2,unknown,no,no,Los Angeles
173,45,female,5,married,7,no,yes,yes,New York
174,42,female,3,single,7,unknown,no,no,Houston
175,43,male,2,married,2,no,no,no,Phoenix
176,46,female,7,married,4,no,no,no,Chicago
177,44,male,2,married,2,no,yes,yes,New York
178,51,male,3,single,3,no,no,no,Houston
179,28,male,2,married,2,no,yes,no,Los Angeles
180,37,male,4,married,4,no,no,no,Chicago
181,34,male,5,married,2,no,no,no,Houston
182,46,male,4,married,3,unknown,yes,no,Chicago
183,42,male,4,married,4,no,yes,yes,New York
184,36,male,3,married,7,no,yes,no,Los Angeles
185,54,female,4,married,1,unknown,no,no,Phoenix
186,57,female,7,married,7,no,no,no,Chicago
187,51,female,5,married,3,unknown,no,no,Chicago
188,54,female,6,married,2,unknown,no,no,New York
189,49,female,4,married,1,unknown,no,no,Houston
190,34,male,3,married,7,no,yes,no,Phoenix
191,41,female,5,married,5,no,no,no,New York
192,38,female,4,single,4,no,yes,no,Phoenix
193,45,male,7,divorced,7,no,no,no,Los Angeles
194,42,male,5,married,7,no,no,no,Phoenix
195,34,female,4,single,4,unknown,yes,no,Chicago
196,48,female,4,married,1,no,yes,no,Los Angeles
197,37,male,3,married,2,unknown,yes,no,Los Angeles
198,34,male,4,single,4,unknown,no,no,Los Angeles
199,40,female,3,married,4,unknown,yes,no,Phoenix
200,43,female,4,married,3,no,yes,no,Los Angeles
201,33,male,2,married,2,no,no,no,Chicago
202,32,male,2,single,3,no,no,no,Houston
203,39,female,4,married,2,no,yes,no,Houston
204,43,male,3,married,6,no,no,no,Houston
205,44,female,4,married,4,no,yes,no,Houston
206,35,male,12,single,7,unknown,no,no,Chicago
207,35,male,12,single,7,unknown,yes,yes,Phoenix
208,35,female,8,married,5,no,no,no,Houston
209,36,male,2,single,1,no,no,no,Chicago
210,35,male,12,single,7,unknown,yes,no,Houston
211,36,female,12,single,4,no,yes,no,New York
212,55,male,1,divorced,7,no,no,no,Phoenix
213,59,male,3,married,7,no,no,no,New York
214,57,female,6,married,6,unknown,no,no,Phoenix
215,39,female,4,married,5,unknown,yes,no,Los Angeles
216,39,male,1,married,1,unknown,yes,no,Phoenix
217,30,female,4,single,6,no,yes,no,New York
218,30,female,4,single,6,no,yes,yes,Chicago
219,50,female,1,married,1,unknown,no,no,Los Angeles
220,40,female,2,married,2,no,no,no,Los Angeles
221,35,female,3,married,2,no,yes,no,Los Angeles
222,43,female,5,married,6,unknown,no,no,Houston
223,36,male,2,single,3,unknown,yes,no,Chicago
224,46,male,5,married,1,unknown,yes,no,Los Angeles
225,40,female,5,married,4,no,no,no,Los Angeles
226,58,female,6,married,7,no,no,no,Phoenix
227,42,female,5,married,7,no,no,no,Chicago
228,35,female,3,single,7,no,no,no,Houston
229,43,male,6,married,1,unknown,no,no,Phoenix
230,45,male,4,married,1,no,yes,yes,New York
231,39,male,3,married,5,no,yes,no,Los Angeles
232,50,male,2,divorced,5,no,yes,no,Chicago
233,32,female,7,divorced,1,unknown,yes,no,Phoenix
234,39,male,3,married,2,unknown,no,no,Los Angeles
235,52,female,9,married,7,unknown,no,no,Los Angeles
236,44,male,3,married,5,no,yes,no,Chicago
237,56,male,4,married,1,no,no,no,Houston
238,48,male,3,married,2,no,no,no,Houston
239,33,male,2,married,2,unknown,no,yes,Houston
240,43,female,7,married,7,unknown,no,yes,Phoenix
241,57,female,6,married,2,no,no,no,Houston
242,36,male,5,single,5,no,no,no,Los Angeles
243,34,female,7,married,7,no,yes,no,Chicago
244,34,female,2,single,4,no,no,no,Houston
245,30,male,5,married,7,unknown,no,no,Los Angeles
246,33,female,2,divorced,6,no,no,no,New York
247,32,male,5,single,5,no,no,no,New York
248,36,female,5,single,2,no,yes,no,Chicago
249,36,male,4,single,2,no,no,yes,Phoenix
250,33,female,2,single,2,no,no,no,Los Angeles
251,40,female,5,divorced,5,no,no,no,Phoenix
252,41,female,4,married,1,no,yes,no,Houston
253,51,female,2,married,3,no,yes,no,Los Angeles
254,36,male,5,married,5,no,yes,no,Houston
255,28,female,2,married,6,no,no,no,Los Angeles
256,53,male,2,married,2,no,yes,yes,Chicago
257,58,male,4,married,4,unknown,yes,no,Los Angeles
258,45,male,7,married,4,no,no,yes,Phoenix
259,43,female,5,married,6,no,yes,no,New York
260,33,male,3,married,2,no,no,yes,Phoenix
261,33,female,3,married,2,no,no,yes,Los Angeles
262,27,male,4,single,3,no,unknown,unknown,Phoenix
263,42,female,5,married,2,no,no,no,Houston
264,43,female,3,divorced,4,no,no,no,Los Angeles
265,42,female,3,married,7,no,no,no,Chicago
266,27,female,4,single,3,no,no,no,Los Angeles
267,34,female,9,single,7,no,yes,no,Chicago
268,31,male,12,single,7,unknown,no,no,New York
269,54,male,7,divorced,7,no,no,no,Los Angeles
270,40,female,9,married,1,unknown,no,no,Phoenix
271,52,male,8,married,2,unknown,yes,no,Los Angeles
272,47,female,7,divorced,7,no,no,no,Chicago
273,49,female,1,married,4,unknown,no,no,Houston
274,32,male,3,single,2,no,no,no,New York
275,49,female,1,single,2,unknown,yes,yes,New York
276,50,female,4,married,4,unknown,no,no,Los Angeles
277,34,female,2,married,2,no,no,no,Phoenix
278,55,male,4,married,1,unknown,no,no,Houston
279,47,female,5,single,4,no,no,no,Phoenix
280,51,male,6,married,5,no,no,no,Chicago
281,47,male,4,married,3,no,no,no,New York
282,56,female,5,married,1,no,yes,no,Chicago
283,53,male,3,married,4,no,no,no,Phoenix
284,36,male,4,married,4,no,yes,no,Los Angeles
285,42,female,4,divorced,4,no,yes,no,Phoenix
286,44,female,4,divorced,3,no,no,no,Houston
287,39,male,1,married,4,no,yes,no,Phoenix
288,37,female,3,single,2,no,yes,yes,New York
289,60,male,4,married,6,unknown,yes,no,Chicago
290,36,male,2,married,2,no,no,no,Phoenix
291,42,female,7,divorced,7,no,yes,no,Chicago
292,31,male,3,married,2,no,yes,yes,New York
293,53,female,5,divorced,5,unknown,no,yes,Phoenix
294,45,female,4,married,1,no,yes,no,New York
295,37,female,5,single,5,no,yes,no,Los Angeles
296,47,female,9,married,5,no,no,no,Houston
297,49,male,4,divorced,2,no,no,yes,Los Angeles
298,36,male,3,married,7,no,yes,no,Phoenix
299,35,female,2,divorced,2,no,no,no,New York
300,38,male,10,married,6,unknown,no,no,Chicago
301,38,female,2,single,2,unknown,no,no,New York
302,50,male,4,divorced,2,unknown,no,yes,Chicago
303,59,female,6,married,5,unknown,no,no,Chicago
304,43,male,10,married,6,no,yes,no,Los Angeles
305,42,female,3,married,2,no,yes,no,Los Angeles
306,40,female,3,married,3,unknown,yes,no,New York
307,46,male,4,married,6,unknown,no,no,Phoenix
308,57,female,1,divorced,1,no,yes,yes,Houston
309,42,female,3,married,7,no,yes,no,Los Angeles
310,41,female,4,married,1,no,yes,no,Phoenix
311,54,male,7,divorced,7,no,yes,no,New York
312,27,female,3,single,7,no,no,no,Houston
313,36,female,3,married,2,no,no,no,Los Angeles
314,58,female,4,married,5,unknown,yes,no,Los Angeles
315,40,male,7,married,7,unknown,yes,no,Chicago
316,34,male,3,single,4,unknown,no,no,Chicago
317,33,male,3,divorced,2,no,no,no,Phoenix
318,56,female,6,married,3,no,no,no,Los Angeles
319,42,female,4,married,4,no,no,no,Chicago
320,43,female,2,married,2,no,yes,no,Phoenix
321,54,male,7,single,4,no,yes,no,Phoenix
322,53,male,3,single,3,no,yes,yes,Phoenix
323,42,male,5,single,6,no,no,no,Chicago
324,40,female,2,married,3,unknown,no,no,Houston
325,54,male,5,married,5,no,yes,yes,Chicago
326,40,male,1,single,5,no,no,no,New York
327,26,male,3,single,7,no,yes,no,Phoenix
328,33,female,3,married,2,no,no,no,Phoenix
329,35,male,4,married,4,unknown,no,no,Chicago
330,36,female,3,married,2,no,no,no,Los Angeles
331,29,female,2,single,2,no,yes,no,Houston
332,36,male,4,married,4,no,yes,no,Phoenix
333,35,female,7,married,2,no,yes,no,Houston
334,50,male,9,single,7,no,no,yes,Houston
335,46,female,2,married,2,unknown,yes,no,New York
336,49,male,11,married,2,no,yes,no,Los Angeles
337,42,female,5,single,5,unknown,yes,no,Houston
338,36,female,4,single,2,no,yes,yes,New York
339,55,male,4,married,4,unknown,yes,no,Phoenix
340,41,female,7,married,7,unknown,no,no,Phoenix
341,57,male,7,married,5,unknown,yes,no,Los Angeles
342,32,male,2,single,2,no,yes,no,Phoenix
343,49,male,3,married,4,no,no,no,Chicago
344,57,female,10,married,6,unknown,yes,no,New York
345,58,female,4,divorced,1,no,yes,no,Los Angeles
346,52,female,5,married,2,no,yes,no,Los Angeles
347,50,female,2,divorced,5,no,no,no,Chicago
348,41,male,4,single,4,unknown,yes,no,Phoenix
349,33,male,11,married,7,no,yes,no,Chicago
350,57,male,4,married,1,no,no,no,Chicago
351,48,male,4,married,3,unknown,no,no,New York
352,55,male,5,married,5,no,no,no,Houston
353,38,male,7,married,7,no,no,no,Phoenix
354,38,female,2,married,2,no,yes,no,Houston
355,53,male,3,married,7,no,yes,no,Los Angeles
356,43,male,8,single,7,no,no,no,Chicago
357,36,female,4,single,2,no,no,no,Chicago
358,32,male,4,married,4,no,no,no,New York
359,33,female,2,married,1,no,no,no,Houston
360,58,female,11,married,1,no,yes,no,New York
361,40,female,8,divorced,2,unknown,no,no,Chicago
362,57,male,7,married,7,no,yes,no,Los Angeles
363,45,female,5,married,2,no,yes,no,Houston
364,42,female,4,married,1,unknown,yes,no,Los Angeles
365,46,male,3,married,7,no,yes,no,Los Angeles
366,36,male,5,married,7,no,no,no,Los Angeles
367,41,female,9,married,2,no,yes,no,Houston
368,57,male,3,divorced,4,no,no,no,Chicago
369,49,male,4,married,4,unknown,yes,no,Houston
370,56,female,7,divorced,2,no,no,no,New York
371,37,male,4,married,4,no,no,no,New York
372,37,male,4,married,4,no,no,yes,Chicago
373,46,female,3,single,2,no,yes,no,Phoenix
374,22,female,4,single,4,no,yes,no,Phoenix
375,43,female,2,married,2,no,no,no,Phoenix
376,49,female,4,married,6,no,no,no,Chicago
377,41,male,5,married,3,no,yes,no,Phoenix
378,38,female,3,single,7,no,no,no,Los Angeles
379,33,female,3,married,4,no,no,no,Phoenix
380,49,male,3,married,7,no,yes,yes,Houston
381,30,male,4,single,6,no,no,no,New York
382,33,female,3,married,4,no,yes,no,Los Angeles
383,34,male,7,single,7,no,no,no,New York
384,30,male,12,single,6,unknown,no,no,New York
385,59,female,7,married,1,unknown,yes,yes,Houston
386,59,male,7,married,1,unknown,unknown,unknown,Los Angeles
387,41,female,9,married,7,no,no,no,Los Angeles
388,48,female,1,married,3,unknown,yes,yes,Phoenix
389,28,female,10,single,6,unknown,yes,yes,Houston
390,44,female,2,married,2,no,yes,no,Phoenix
391,59,male,6,unknown,7,unknown,no,no,New York
392,50,female,7,married,2,unknown,no,no,Los Angeles
393,35,male,3,married,7,no,no,no,Los Angeles
394,42,male,3,married,2,no,no,no,New York
395,45,male,3,married,4,no,no,no,Chicago
396,36,female,5,married,5,no,no,no,Los Angeles
397,56,female,2,married,2,unknown,no,no,Houston
398,29,male,4,divorced,1,no,no,no,Phoenix
399,41,female,9,married,7,no,yes,yes,Los Angeles
400,42,male,4,married,4,unknown,no,no,Chicago
401,52,female,2,single,2,no,no,no,New York
402,48,male,2,married,2,unknown,unknown,unknown,Phoenix
403,31,male,4,married,2,unknown,yes,no,Houston
404,43,female,8,married,7,unknown,yes,no,Houston
405,36,male,4,married,1,unknown,no,no,New York
406,42,female,11,married,7,no,yes,no,New York
407,52,male,2,divorced,3,no,no,no,Houston
408,39,male,3,married,2,no,yes,no,Los Angeles
409,36,male,2,married,2,no,no,yes,New York
410,42,female,4,married,4,unknown,yes,no,New York
411,41,male,3,married,2,no,no,no,Houston
412,55,female,5,married,1,no,no,yes,New York
413,30,male,4,married,4,no,no,no,Phoenix
414,57,female,6,unknown,1,no,no,no,New York
415,45,female,11,married,1,unknown,yes,no,Houston
416,51,male,4,married,1,unknown,yes,yes,Chicago
417,39,female,9,single,4,unknown,yes,yes,New York
418,47,female,3,married,2,unknown,no,no,Phoenix
419,27,female,2,married,2,no,yes,no,Chicago
420,34,male,5,single,7,no,yes,no,New York
421,57,male,4,married,1,unknown,yes,no,Los Angeles
422,43,male,11,married,1,no,no,no,Phoenix
423,49,male,4,married,1,unknown,no,no,Los Angeles
424,39,female,7,married,7,unknown,no,no,Houston
425,38,female,4,married,1,unknown,yes,no,Chicago
426,49,female,4,married,4,no,no,no,Los Angeles
427,58,female,7,married,3,no,no,no,Los Angeles
428,43,female,5,married,5,no,yes,no,New York
429,50,male,10,married,6,unknown,yes,no,New York
430,31,male,2,married,2,unknown,no,no,New York
431,43,female,9,divorced,7,no,no,no,Los Angeles
432,43,male,9,married,4,unknown,no,no,New York
433,30,female,9,single,7,no,yes,no,Houston
434,27,female,2,single,5,no,yes,yes,Chicago
435,51,female,2,married,6,unknown,no,no,Houston
436,37,male,5,married,5,no,yes,no,Los Angeles
437,46,male,1,married,4,no,yes,no,Los Angeles
438,35,male,4,married,5,no,no,no,Los Angeles
439,47,male,3,divorced,7,no,no,no,Phoenix
440,46,female,7,married,6,no,yes,no,Chicago
441,40,male,5,married,5,unknown,no,yes,Chicago
442,26,female,1,married,7,no,no,no,Los Angeles
443,32,female,4,divorced,4,unknown,no,no,Chicago
444,45,female,7,married,7,no,yes,no,Houston
445,34,female,3,married,4,no,no,no,Houston
446,47,female,4,married,6,unknown,no,no,Phoenix
447,42,male,5,married,5,no,no,no,New York
448,57,male,5,married,1,unknown,no,yes,Los Angeles
449,57,male,5,married,1,unknown,no,no,Chicago
450,38,male,4,married,1,no,no,yes,Los Angeles
451,57,female,5,married,1,unknown,no,no,New York
452,28,female,12,single,4,unknown,yes,no,New York
453,60,male,7,married,7,no,no,no,New York
454,48,male,3,married,7,no,yes,no,Phoenix
455,47,male,5,married,5,no,yes,no,Chicago
456,40,female,3,married,2,no,no,no,Chicago
457,51,male,7,married,5,unknown,yes,no,Chicago
458,48,male,8,single,1,no,yes,no,Houston
459,54,male,1,married,1,no,no,no,Phoenix
460,40,female,4,married,3,no,no,yes,Los Angeles
461,44,female,3,single,4,unknown,no,no,Chicago
462,42,male,5,divorced,2,no,no,no,Houston
463,52,male,9,married,7,no,yes,no,Phoenix
464,31,male,4,single,4,no,yes,no,Chicago
465,32,male,2,married,2,no,no,no,Houston
466,44,male,3,married,2,no,yes,yes,New York
467,39,male,7,married,3,unknown,no,no,Chicago
468,57,female,7,married,5,unknown,yes,no,Houston
469,52,male,3,married,1,no,yes,no,Houston
470,42,female,7,married,7,no,no,no,Chicago
471,42,male,5,single,5,unknown,unknown,unknown,Houston
472,43,male,7,married,5,no,yes,no,New York
473,31,male,3,divorced,2,no,no,no,Chicago
474,29,female,3,married,7,unknown,yes,no,Los Angeles
475,57,female,4,divorced,1,no,no,no,Los Angeles
476,44,male,4,married,4,unknown,no,no,Los Angeles
477,59,male,10,married,6,unknown,no,no,Phoenix
478,39,male,4,married,1,unknown,no,no,Los Angeles
479,57,female,6,married,7,no,no,no,Los Angeles
480,41,female,7,married,6,unknown,no,no,Chicago
481,37,male,5,single,2,unknown,no,yes,Phoenix
482,38,female,2,married,2,no,yes,no,New York
483,42,female,6,married,1,no,no,no,Los Angeles
484,49,male,10,married,6,unknown,yes,no,New York
485,54,female,7,married,3,unknown,yes,yes,Chicago
486,36,male,3,married,7,no,unknown,unknown,Phoenix
487,32,female,3,single,7,unknown,no,no,Los Angeles
488,35,female,5,married,5,no,yes,no,Los Angeles
489,45,male,1,married,5,unknown,no,no,Chicago
490,56,female,5,married,6,no,yes,no,New York
491,34,male,5,married,7,no,yes,no,Los Angeles
492,41,male,8,married,4,unknown,no,no,Chicago
493,41,male,2,married,4,no,no,no,New York
494,36,female,4,married,4,unknown,no,no,Phoenix
495,32,male,3,single,7,unknown,unknown,unknown,Houston
496,31,female,2,married,2,unknown,unknown,unknown,Houston
497,38,male,5,married,5,no,yes,no,New York
498,35,male,3,divorced,7,unknown,yes,no,Houston
499,53,male,3,married,5,no,yes,no,Chicago
500,51,female,3,married,3,unknown,yes,no,Chicago
501,56,male,11,married,7,unknown,no,no,Los Angeles
502,33,female,3,married,4,no,unknown,unknown,Los Angeles
503,33,male,3,married,4,no,no,no,New York
504,51,female,2,divorced,2,unknown,yes,no,Phoenix
505,39,female,2,married,2,unknown,yes,no,Houston
506,45,female,11,married,7,no,no,no,Phoenix
507,40,female,5,single,7,no,no,no,Los Angeles
508,60,female,10,single,6,unknown,yes,no,Los Angeles
509,33,male,5,married,7,no,yes,no,New York
510,47,male,4,married,2,unknown,yes,no,Chicago
511,48,male,4,married,1,no,no,no,New York
512,43,male,11,married,2,no,no,no,Houston
513,37,female,7,married,7,no,yes,no,New York
514,50,male,2,married,4,no,yes,yes,Houston
515,59,female,11,married,2,no,yes,no,Los Angeles
516,32,male,5,married,6,unknown,yes,no,New York
517,42,female,1,single,1,unknown,yes,no,Los Angeles
518,52,male,4,married,1,no,no,no,New York
519,42,female,4,married,6,unknown,no,no,New York
520,42,female,3,married,6,no,no,no,New York
521,40,male,7,married,4,unknown,unknown,unknown,New York
522,38,male,4,married,4,no,no,no,Phoenix
523,39,female,4,married,3,no,yes,no,New York
524,39,male,4,married,3,no,no,no,Phoenix
525,38,male,3,married,2,no,no,no,Chicago
526,47,female,3,single,6,unknown,yes,no,Phoenix
527,30,male,2,single,2,no,no,no,Houston
528,38,female,3,divorced,2,no,yes,yes,Houston
529,39,female,5,divorced,7,no,no,no,Chicago
530,44,female,3,married,2,no,no,no,Houston
531,36,female,3,married,2,no,no,no,Phoenix
532,41,male,2,married,2,unknown,yes,yes,New York
533,41,female,4,married,3,no,no,no,Chicago
534,35,female,4,married,4,no,no,no,Phoenix
535,41,male,5,married,2,no,no,no,Houston
536,36,male,2,married,2,unknown,no,no,New York
537,35,female,3,single,2,no,yes,yes,Phoenix
538,33,female,4,single,1,unknown,no,no,Los Angeles
539,38,female,3,single,3,unknown,no,no,Chicago
540,33,female,9,married,7,no,no,no,New York
541,55,female,9,married,6,unknown,no,no,Chicago
542,36,male,4,single,4,unknown,no,no,Houston
543,57,female,5,married,5,unknown,no,yes,New York
544,32,female,11,single,7,no,yes,no,Los Angeles
545,30,male,9,single,2,no,yes,no,Los Angeles
546,43,female,3,married,5,no,yes,yes,Los Angeles
547,46,male,3,married,7,no,no,no,Los Angeles
548,35,female,3,divorced,2,no,no,yes,Chicago
549,34,male,3,single,7,no,yes,yes,Phoenix
550,50,male,4,married,1,unknown,unknown,unknown,Los Angeles
551,39,male,3,single,7,no,no,no,Chicago
552,39,female,4,married,4,unknown,no,no,Los Angeles
553,42,female,11,married,3,no,no,no,Houston
554,57,female,6,married,7,no,yes,no,Houston
555,45,female,4,married,1,unknown,no,no,Chicago
556,40,female,5,married,1,no,no,yes,New York
557,42,female,4,married,2,no,no,yes,Houston
558,40,male,5,married,1,no,no,no,Phoenix
559,38,female,4,single,1,unknown,no,no,Chicago
560,39,female,4,married,3,unknown,yes,yes,Phoenix
561,41,female,4,married,1,no,no,no,Houston
562,39,female,4,married,3,unknown,yes,no,Chicago
563,41,male,4,married,1,no,yes,yes,Phoenix
564,45,male,3,married,7,unknown,no,no,Phoenix
565,35,male,3,divorced,7,no,unknown,unknown,Los Angeles
566,35,male,3,married,3,no,yes,no,New York
567,49,female,4,married,2,unknown,no,no,Houston
